SUBJECT	KERDES	RI
KS	k.1	1305
KS	k.2	1238
KS	k.3	627
KS	k.4	906
KS	k.5	1422
KS	k.6	1093
KS	k.7	545
KS	k.8	848
KS	k.9	572
KS	k.10	790
TR	k.1	1427
TR	k.2	1391
TR	k.3	1341
TR	k.4	1020
TR	k.5	1456
TR	k.6	1293
TR	k.7	1204
TR	k.8	1363
TR	k.9	644
TR	k.10	1155
SE	k.1	1218
SE	k.2	910
SE	k.3	1265
SE	k.4	538
SE	k.5	1405
SE	k.6	790
SE	k.7	682
SE	k.8	999
SE	k.9	1078
SE	k.10	926
AK	k.1	544
AK	k.2	524
AK	k.3	913
AK	k.4	1218
AK	k.5	1445
AK	k.6	583
AK	k.7	771
AK	k.8	923
AK	k.9	787
AK	k.10	1254
TF	k.1	600
TF	k.2	867
TF	k.3	906
TF	k.4	916
TF	k.5	740
TF	k.6	1478
TF	k.7	766
TF	k.8	535
TF	k.9	1161
TF	k.10	1472
