hallgato;Height;neme;lefekves;felkeles;Drink
1;67;female;-2,5;5,5;víz
2;64;female;1,5;8;üdítõ
3;61;female;-1,5;7,5;tej
4;61;female;2;8,5;víz
5;70;male;0;9;üdítõ
6;63;female;1;8,5;víz
7;61;female;1,5;7,5;víz
8;64;female;0,5;7,5;üdítõ
9;66;female;-0,5;7;víz
10;65;male;2,5;8,5;tej
11;72;male;0;6,5;tej
12;63;female;-1;7;víz
13;67;female;2,5;6,5;üdítõ
14;63,5;female;-1;7,5;tej
15;72;male;2,5;8,5;üdítõ
16;65;female;-0,5;7;víz
17;62;female;0;8,5;víz
18;66;male;2,5;8;üdítõ
19;71;male;0,5;7,5;víz
20;64;female;-1,5;7,5;víz
21;71;male;1,5;8;víz
22;61;female;1,5;7,5;víz
23;56;female;1;8;víz
24;71;male;2;10;tej
25;63;female;0;9;üdítõ
26;65;female;-0,5;6;víz
27;68;male;0,5;8;víz
28;64;female;1,5;10;üdítõ
29;59;female;0,5;8,5;víz
30;61,5;female;1,5;8,5;víz
31;70;male;3;11;víz
32;64;female;1,5;7,5;víz
33;63;female;2;9;üdítõ
34;71;male;1;9,5;víz
35;73;male;0,5;8,5;víz
36;66;female;1;7;víz
37;66;female;0,5;9;üdítõ
38;63;female;2;7,25;tej
39;67;female;1,5;8,5;üdítõ
40;76;female;-0,5;9,5;víz
41;61;female;2;10;víz
42;63;female;-0,5;9,5;víz
43;62;female;0,5;7,5;üdítõ
44;65;female;-1;9,5;tej
45;68;female;-1;6,5;víz
46;63;female;1;6;víz
47;62;female;2,5;8;víz
48;72;male;1;8,5;üdítõ
49;66;female;2;10;üdítõ
50;62;female;-0,5;8,5;víz
51;67;female;1,5;9;tej
52;64,5;female;-0,5;9;üdítõ
53;66;female;2,5;9,5;üdítõ
54;65;female;2;9;víz
55;NA;female;1,5;8,5;víz
56;65;female;0;9;üdítõ
57;65;female;0,5;8,5;tej
58;67;female;4;11;üdítõ
59;64;female;0,5;9;üdítõ
60;67;female;0;8;víz
61;64;female;-1;7;víz
62;66;female;0,5;7,5;víz
63;67;male;3;9;víz
64;65;female;0;6;víz
65;72;male;0,5;9;víz
66;73;male;-1;8;tej
67;71;male;1,5;7,5;üdítõ
68;73;male;1,5;10,5;üdítõ
69;72;male;0;11;üdítõ
70;68;male;2;10;víz
71;64;female;2,5;8;víz
72;68;female;3;8,5;víz
73;62;female;1,5;6,5;üdítõ
74;66;male;-0,5;7,5;víz
75;76;male;0,5;9,5;üdítõ
76;55;female;3;10,5;üdítõ
77;69;female;-1;9,5;víz
78;71;male;2,5;7,5;üdítõ
79;68;female;-0,5;10,5;üdítõ
80;68;male;3,5;7;tej
81;62;female;1,5;11;víz
82;73;male;4,5;10,5;üdítõ
83;62;female;1,5;10,5;víz
84;61;female;3,5;8;víz
85;70;male;2,5;10,5;tej
86;68;female;0,5;10;üdítõ
87;60;female;1,5;8,5;víz
88;68;female;1,5;9;víz
89;71;male;3,5;8,5;üdítõ
90;56;female;1,5;8;víz
91;67;female;0,5;9;víz
92;69;female;-1;6,5;víz
93;74;male;0,5;8,5;tej
94;72;female;2;7,5;víz
95;76;female;0;7;üdítõ
96;76;male;2;9,5;víz
97;70;male;2;9,5;üdítõ
98;64;female;0;7;üdítõ
99;72;female;0,5;7;üdítõ
100;66;female;1,5;8;víz
101;63;female;1;9;víz
