PULSE1	PULSE2	RAN	SMOKES	SEX	HEIGHT	WEIGHT	ACTIVITY
64	88	1	2	1	66,0	140	2
58	70	1	2	1	72,0	145	2
62	76	1	1	1	73,5	160	3
66	78	1	1	1	73,0	190	1
64	80	1	2	1	69,0	155	2
74	84	1	2	1	73,0	165	1
84	84	1	2	1	72,0	150	3
68	72	1	2	1	74,0	190	2
62	75	1	2	1	72,0	195	2
76	118	1	2	1	71,0	138	2
90	94	1	1	1	74,0	160	1
80	96	1	2	1	72,0	155	2
92	84	1	1	1	70,0	153	3
68	76	1	2	1	67,0	145	2
60	76	1	2	1	71,0	170	3
62	58	1	2	1	72,0	175	3
66	82	1	1	1	69,0	175	2
70	72	1	1	1	73,0	170	3
68	76	1	1	1	74,0	180	2
72	80	1	2	1	66,0	135	3
70	106	1	2	1	71,0	170	2
74	76	1	2	1	70,0	157	2
66	102	1	2	1	70,0	130	2
70	94	1	1	1	75,0	185	2
96	140	1	2	2	61,0	140	2
62	100	1	2	2	66,0	120	2
78	104	1	1	2	68,0	130	2
82	100	1	2	2	68,0	138	2
100	115	1	1	2	63,0	121	2
68	112	1	2	2	70,0	125	2
96	116	1	2	2	68,0	116	2
78	118	1	2	2	69,0	145	2
88	110	1	1	2	69,0	150	2
62	98	1	1	2	62,8	112	2
80	128	1	2	2	68,0	125	2
62	62	2	2	1	74,0	190	1
60	62	2	2	1	71,0	155	2
72	74	2	1	1	69,0	170	2
62	66	2	2	1	70,0	155	2
76	76	2	2	1	72,0	215	2
68	66	2	1	1	67,0	150	2
54	56	2	1	1	69,0	145	2
74	70	2	2	1	73,0	155	3
74	74	2	2	1	73,0	155	2
68	68	2	2	1	71,0	150	3
72	74	2	1	1	68,0	155	3
68	64	2	2	1	69,5	150	3
82	84	2	1	1	73,0	180	2
64	62	2	2	1	75,0	160	3
58	58	2	2	1	66,0	135	3
54	50	2	2	1	69,0	160	2
70	62	2	1	1	66,0	130	2
62	68	2	1	1	73,0	155	2
48	54	2	1	1	68,0	150	0
76	76	2	2	1	74,0	148	3
88	84	2	2	1	73,5	155	2
70	70	2	2	1	70,0	150	2
90	88	2	1	1	67,0	140	2
78	76	2	2	1	72,0	180	3
70	66	2	1	1	75,0	190	2
90	90	2	2	1	68,0	145	1
92	94	2	1	1	69,0	150	2
60	70	2	1	1	71,5	164	2
72	70	2	2	1	71,0	140	2
68	68	2	2	1	72,0	142	3
84	84	2	2	1	69,0	136	2
74	76	2	2	1	67,0	123	2
68	66	2	2	1	68,0	155	2
84	84	2	2	2	66,0	130	2
61	70	2	2	2	65,5	120	2
64	60	2	2	2	66,0	130	3
94	92	2	1	2	62,0	131	2
60	66	2	2	2	62,0	120	2
72	70	2	2	2	63,0	118	2
58	56	2	2	2	67,0	125	2
88	74	2	1	2	65,0	135	2
66	72	2	2	2	66,0	125	2
84	80	2	2	2	65,0	118	1
62	66	2	2	2	65,0	122	3
66	76	2	2	2	65,0	115	2
80	74	2	2	2	64,0	102	2
78	78	2	2	2	67,0	115	2
68	68	2	2	2	69,0	150	2
72	68	2	2	2	68,0	110	2
82	80	2	2	2	63,0	116	1
76	76	2	1	2	62,0	108	3
87	84	2	2	2	63,0	95	3
90	92	2	1	2	64,0	125	1
78	80	2	2	2	68,0	133	1
68	68	2	2	2	62,0	110	2
86	84	2	2	2	67,0	150	3
76	76	2	2	2	61,8	108	2
